Area,BHK,Bathroom,Parking,Price,Furnishing_Semi-Furnished,Furnishing_Unfurnished,District_ East Delhi,District_ North West Delhi,District_ Shahdara,District_ South Delhi,District_ South East Delhi,District_ West Delhi,District_South West Delhi ,Status_Ready_to_move,Transaction_Resale,Type_Builder_Floor
345.0,1.0,1.0,1.0,5500000.0,1,0,0,0,0,0,0,0,0,1,1,1
468.0,2.0,2.0,1.0,4100000.0,0,1,0,0,0,0,0,0,0,1,1,1
530.0,4.0,1.0,1.0,6800000.0,1,0,0,0,0,0,0,0,0,1,1,0
535.0,2.0,1.0,1.0,3900000.0,0,0,0,0,0,0,0,0,0,1,0,0
576.0,2.0,2.0,1.0,5000000.0,0,1,0,0,0,0,0,0,0,1,1,0
675.0,2.0,2.0,1.0,10000000.0,1,0,0,0,0,0,0,0,0,1,1,1
720.0,2.0,1.0,1.0,7000000.0,1,0,0,0,0,0,0,0,0,1,1,1
950.0,2.0,2.0,1.0,12500000.0,0,0,0,0,0,0,0,0,0,1,1,0
987.0,2.0,2.0,1.0,17000000.0,1,0,0,0,0,0,0,0,0,1,0,0
1017.0,3.0,3.0,1.0,22000000.0,1,0,0,0,0,0,0,0,0,1,0,0
1135.0,3.0,3.0,2.0,25000000.0,0,0,0,0,0,0,0,0,0,0,1,0
1135.0,3.0,3.0,2.0,25000000.0,0,0,0,0,0,0,0,0,0,0,1,0
1135.0,3.0,3.0,2.0,25000000.0,0,0,0,0,0,0,0,0,0,0,1,0
1135.0,3.0,3.0,2.0,24500000.0,0,0,0,0,0,0,0,0,0,0,1,0
1143.0,2.0,2.0,1.0,16000000.0,0,1,0,0,0,0,0,0,0,1,1,0
1200.0,3.0,2.0,1.0,20900000.0,1,0,0,0,0,0,0,0,0,0,1,0
1200.0,3.0,2.0,1.0,14500000.0,1,0,0,0,0,0,0,0,0,1,1,1
1206.0,3.0,3.0,1.0,20000000.0,1,0,0,0,0,0,0,0,0,1,1,1
1252.0,2.0,2.0,1.0,18500000.0,1,0,0,0,0,0,0,0,0,0,0,0
1280.0,3.0,3.0,2.0,15000000.0,0,0,0,0,0,0,0,0,0,1,1,1
1332.0,3.0,2.0,1.0,6540000.0,1,0,0,0,0,0,0,0,0,1,1,1
1500.0,3.0,3.0,2.0,16000000.0,0,1,0,0,0,0,0,0,0,1,1,0
1501.0,3.0,2.0,1.0,20000000.0,1,0,0,0,0,0,0,0,0,0,1,0
1600.0,3.0,3.0,1.0,24000000.0,1,0,0,0,0,0,0,0,0,1,0,1
1775.0,3.0,3.0,1.0,25500000.0,1,0,0,0,0,0,0,0,0,0,0,0
1775.0,3.0,3.0,1.0,25500000.0,1,0,0,0,0,0,0,0,0,0,0,0
1775.0,3.0,3.0,1.0,25500000.0,1,0,0,0,0,0,0,0,0,0,0,0
1912.0,3.0,3.0,1.0,27500000.0,1,0,0,0,0,0,0,0,0,0,0,0
2000.0,4.0,4.0,1.0,39700000.0,1,0,0,0,0,0,0,0,0,0,0,0
2200.0,3.0,3.0,1.0,43100000.0,1,0,0,0,0,0,0,0,0,1,0,0
2805.0,4.0,4.0,2.0,52300000.0,0,1,0,0,0,0,0,0,0,0,1,0
315.0,3.0,2.0,2.0,4950000.0,1,0,1,0,0,0,0,0,0,1,1,0
405.0,4.0,3.0,1.0,5500000.0,0,1,1,0,0,0,0,0,0,1,0,1
405.0,4.0,3.0,1.0,5500000.0,0,1,1,0,0,0,0,0,0,1,0,1
522.0,2.0,1.0,1.0,3800000.0,0,1,1,0,0,0,0,0,0,1,1,0
100.0,3.0,2.0,1.0,5500000.0,0,1,1,0,0,0,0,0,0,1,1,1
270.0,1.0,1.0,1.0,2300000.0,1,0,1,0,0,0,0,0,0,1,1,1
312.0,4.0,4.0,1.0,35000000.0,0,0,1,0,0,0,0,0,0,1,1,0
350.0,1.0,1.0,1.0,3000000.0,0,1,1,0,0,0,0,0,0,1,1,0
350.0,1.0,1.0,1.0,4200000.0,0,1,1,0,0,0,0,0,0,1,1,0
370.0,1.0,1.0,2.0,2400000.0,0,1,1,0,0,0,0,0,0,1,1,1
380.0,1.0,1.0,1.0,2200000.0,0,1,1,0,0,0,0,0,0,1,1,1
387.0,1.0,2.0,2.0,1700000.0,0,1,1,0,0,0,0,0,0,1,0,1
400.0,2.0,1.0,1.0,2500000.0,0,0,1,0,0,0,0,0,0,1,0,0
400.0,1.0,1.0,1.0,3500000.0,1,0,1,0,0,0,0,0,0,1,1,0
400.0,1.0,1.0,1.0,3600000.0,0,1,1,0,0,0,0,0,0,1,1,1
400.0,2.0,2.0,1.0,9000000.0,0,0,1,0,0,0,0,0,0,1,1,1
405.0,1.0,1.0,1.0,2500000.0,0,1,1,0,0,0,0,0,0,1,1,0
420.0,2.0,1.0,1.0,2600000.0,1,0,1,0,0,0,0,0,0,1,0,1
431.0,1.0,1.0,1.0,4300000.0,0,1,1,0,0,0,0,0,0,1,1,0
441.0,2.0,1.0,1.0,3500000.0,0,1,1,0,0,0,0,0,0,1,1,0
450.0,1.0,1.0,0.0,3300000.0,0,1,1,0,0,0,0,0,0,1,1,0
450.0,2.0,1.0,2.0,2500000.0,0,1,1,0,0,0,0,0,0,1,1,0
450.0,1.0,1.0,1.0,1700000.0,1,0,1,0,0,0,0,0,0,1,0,1
450.0,2.0,1.0,2.0,2700000.0,1,0,1,0,0,0,0,0,0,1,0,1
450.0,2.0,1.0,1.0,3500000.0,1,0,1,0,0,0,0,0,0,1,1,1
450.0,2.0,1.0,1.0,3500000.0,1,0,1,0,0,0,0,0,0,1,1,1
450.0,2.0,2.0,1.0,2550000.0,1,0,1,0,0,0,0,0,0,1,0,1
450.0,1.0,2.0,1.0,2700000.0,0,1,1,0,0,0,0,0,0,1,1,1
460.0,2.0,1.0,2.0,3300000.0,0,1,1,0,0,0,0,0,0,1,1,1
500.0,2.0,1.0,1.0,5800000.0,0,0,1,0,0,0,0,0,0,1,1,0
500.0,1.0,1.0,1.0,2600000.0,1,0,1,0,0,0,0,0,0,1,1,1
500.0,2.0,1.0,1.0,3700000.0,1,0,1,0,0,0,0,0,0,1,1,1
540.0,2.0,1.0,1.0,3600000.0,1,0,1,0,0,0,0,0,0,1,0,1
540.0,2.0,1.0,1.0,3500000.0,0,1,1,0,0,0,0,0,0,1,1,1
550.0,2.0,1.0,2.0,1600000.0,1,0,1,0,0,0,0,0,0,1,1,0
550.0,2.0,2.0,2.0,3600000.0,0,1,1,0,0,0,0,0,0,1,0,1
588.0,2.0,2.0,2.0,1800000.0,0,1,1,0,0,0,0,0,0,1,0,0
600.0,2.0,2.0,1.0,7000000.0,0,1,1,0,0,0,0,0,0,1,1,1
650.0,2.0,2.0,1.0,6500000.0,0,1,1,0,0,0,0,0,0,1,1,1
675.0,2.0,2.0,2.0,2400000.0,0,0,1,0,0,0,0,0,0,1,1,1
675.0,2.0,2.0,1.0,3100000.0,0,1,1,0,0,0,0,0,0,1,1,1
715.0,2.0,2.0,1.0,5600000.0,0,1,1,0,0,0,0,0,0,1,1,0
720.0,3.0,3.0,2.0,5500000.0,1,0,1,0,0,0,0,0,0,1,1,1
750.0,2.0,1.0,2.0,6500000.0,1,0,1,0,0,0,0,0,0,1,0,0
750.0,2.0,1.0,0.0,7350000.0,0,1,1,0,0,0,0,0,0,1,1,0
750.0,3.0,2.0,2.0,13500000.0,0,0,1,0,0,0,0,0,0,1,1,0
750.0,2.0,2.0,1.0,3800000.0,1,0,1,0,0,0,0,0,0,1,1,1
750.0,3.0,2.0,1.0,2400000.0,1,0,1,0,0,0,0,0,0,1,1,1
760.0,3.0,2.0,1.0,6000000.0,0,0,1,0,0,0,0,0,0,1,1,1
780.0,2.0,2.0,1.0,7500000.0,1,0,1,0,0,0,0,0,0,1,1,0
800.0,2.0,2.0,1.0,7500000.0,1,0,1,0,0,0,0,0,0,1,1,0
800.0,3.0,2.0,1.0,9030000.0,1,0,1,0,0,0,0,0,0,1,1,0
800.0,3.0,2.0,1.0,4500000.0,1,0,1,0,0,0,0,0,0,1,0,1
800.0,3.0,2.0,1.0,5400000.0,1,0,1,0,0,0,0,0,0,1,1,1
800.0,2.0,2.0,1.0,6000000.0,0,1,1,0,0,0,0,0,0,1,1,1
801.0,3.0,2.0,1.0,6000000.0,1,0,1,0,0,0,0,0,0,1,0,1
810.0,2.0,2.0,1.0,14500000.0,1,0,1,0,0,0,0,0,0,1,1,0
810.0,3.0,2.0,1.0,9000000.0,1,0,1,0,0,0,0,0,0,1,1,1
900.0,3.0,2.0,2.0,13500000.0,1,0,1,0,0,0,0,0,0,1,1,0
900.0,3.0,2.0,1.0,4800000.0,1,0,1,0,0,0,0,0,0,1,1,0
900.0,2.0,2.0,1.0,8550000.0,1,0,1,0,0,0,0,0,0,1,1,0
900.0,2.0,2.0,0.0,8000000.0,1,0,1,0,0,0,0,0,0,1,1,0
900.0,2.0,2.0,1.0,9000000.0,0,1,1,0,0,0,0,0,0,1,1,0
900.0,2.0,2.0,1.0,11000000.0,0,1,1,0,0,0,0,0,0,1,1,0
900.0,3.0,2.0,1.0,5500000.0,0,0,1,0,0,0,0,0,0,1,1,1
900.0,2.0,2.0,2.0,6900000.0,0,0,1,0,0,0,0,0,0,1,1,1
900.0,4.0,2.0,1.0,6600000.0,0,0,1,0,0,0,0,0,0,1,1,1
900.0,3.0,2.0,1.0,7000000.0,1,0,1,0,0,0,0,0,0,1,1,1
900.0,3.0,2.0,1.0,6000000.0,1,0,1,0,0,0,0,0,0,1,1,1
945.0,2.0,2.0,1.0,24900000.0,1,0,1,0,0,0,0,0,0,0,0,0
950.0,2.0,2.0,1.0,8100000.0,0,1,1,0,0,0,0,0,0,1,1,0
975.0,3.0,2.0,1.0,12000000.0,1,0,1,0,0,0,0,0,0,1,1,0
976.0,2.0,2.0,2.0,24900000.0,0,0,1,0,0,0,0,0,0,0,0,0
976.0,2.0,2.0,2.0,24900000.0,0,1,1,0,0,0,0,0,0,0,0,0
976.0,2.0,2.0,1.0,24900000.0,0,0,1,0,0,0,0,0,0,1,0,0
976.0,2.0,2.0,1.0,24900000.0,0,0,1,0,0,0,0,0,0,1,0,0
980.0,2.0,2.0,1.0,24800000.0,0,1,1,0,0,0,0,0,0,0,0,0
990.0,3.0,2.0,1.0,4000000.0,0,1,1,0,0,0,0,0,0,1,1,0
990.0,3.0,2.0,1.0,4000000.0,0,1,1,0,0,0,0,0,0,1,1,0
1000.0,2.0,2.0,1.0,5000000.0,0,1,1,0,0,0,0,0,0,1,0,0
1000.0,3.0,2.0,1.0,9200000.0,0,0,1,0,0,0,0,0,0,1,1,0
1000.0,3.0,2.0,2.0,12000000.0,0,0,1,0,0,0,0,0,0,1,1,0
1000.0,2.0,2.0,1.0,6700000.0,1,0,1,0,0,0,0,0,0,1,1,0
1000.0,2.0,2.0,1.0,7500000.0,1,0,1,0,0,0,0,0,0,1,1,0
1000.0,3.0,2.0,1.0,6500000.0,0,1,1,0,0,0,0,0,0,1,1,0
1000.0,2.0,2.0,1.0,7500000.0,0,1,1,0,0,0,0,0,0,1,1,0
1000.0,3.0,2.0,1.0,6000000.0,0,1,1,0,0,0,0,0,0,1,1,0
1000.0,2.0,2.0,1.0,7500000.0,0,1,1,0,0,0,0,0,0,1,1,0
1000.0,2.0,2.0,2.0,11700000.0,0,1,1,0,0,0,0,0,0,1,1,1
1000.0,3.0,3.0,1.0,9500000.0,0,0,1,0,0,0,0,0,0,1,1,0
1000.0,3.0,3.0,1.0,12500000.0,0,0,1,0,0,0,0,0,0,1,1,1
1050.0,2.0,2.0,1.0,10000000.0,1,0,1,0,0,0,0,0,0,1,1,0
1050.0,2.0,2.0,1.0,9000000.0,1,0,1,0,0,0,0,0,0,1,1,0
1076.0,3.0,2.0,4.0,9300000.0,0,1,1,0,0,0,0,0,0,1,1,1
1080.0,3.0,1.0,1.0,7000000.0,0,1,1,0,0,0,0,0,0,1,0,0
1100.0,2.0,2.0,1.0,9500000.0,1,0,1,0,0,0,0,0,0,1,1,0
1100.0,2.0,2.0,1.0,10000000.0,1,0,1,0,0,0,0,0,0,1,1,0
1100.0,2.0,2.0,1.0,7200000.0,0,1,1,0,0,0,0,0,0,1,1,0
1100.0,3.0,3.0,2.0,12500000.0,1,0,1,0,0,0,0,0,0,1,1,0
1150.0,3.0,3.0,1.0,12000000.0,1,0,1,0,0,0,0,0,0,1,1,0
1200.0,3.0,2.0,1.0,12500000.0,1,0,1,0,0,0,0,0,0,1,1,0
1260.0,3.0,2.0,1.0,7000000.0,1,0,1,0,0,0,0,0,0,1,1,1
1300.0,3.0,2.0,2.0,9800000.0,1,0,1,0,0,0,0,0,0,1,1,0
1300.0,3.0,2.0,2.0,11500000.0,1,0,1,0,0,0,0,0,0,1,1,0
1300.0,3.0,3.0,1.0,9200000.0,0,0,1,0,0,0,0,0,0,1,1,0
1350.0,3.0,3.0,1.0,11000000.0,1,0,1,0,0,0,0,0,0,1,1,0
1350.0,3.0,3.0,1.0,12000000.0,1,0,1,0,0,0,0,0,0,1,1,0
1350.0,4.0,4.0,1.0,10500000.0,1,0,1,0,0,0,0,0,0,1,1,0
1400.0,3.0,2.0,1.0,11000000.0,0,1,1,0,0,0,0,0,0,1,1,0
1450.0,3.0,2.0,1.0,14000000.0,0,0,1,0,0,0,0,0,0,1,1,0
1450.0,2.0,2.0,1.0,7000000.0,0,1,1,0,0,0,0,0,0,1,1,0
1450.0,3.0,3.0,1.0,11600000.0,1,0,1,0,0,0,0,0,0,1,1,0
1459.0,3.0,3.0,1.0,14200000.0,1,0,1,0,0,0,0,0,0,1,1,0
1460.0,3.0,3.0,1.0,16500000.0,1,0,1,0,0,0,0,0,0,1,1,0
1460.0,3.0,3.0,1.0,12000000.0,0,1,1,0,0,0,0,0,0,1,1,0
1500.0,4.0,1.0,0.0,12500000.0,0,1,1,0,0,0,0,0,0,1,1,0
1500.0,2.0,2.0,2.0,24700000.0,0,0,1,0,0,0,0,0,0,0,0,0
1500.0,3.0,2.0,1.0,16000000.0,1,0,1,0,0,0,0,0,0,1,1,0
1500.0,3.0,3.0,2.0,15000000.0,0,0,1,0,0,0,0,0,0,1,1,0
1500.0,3.0,3.0,1.0,12000000.0,1,0,1,0,0,0,0,0,0,1,1,0
1512.0,2.0,2.0,1.0,30000000.0,0,1,1,0,0,0,0,0,0,0,0,0
1531.0,2.0,2.0,2.0,25900000.0,0,1,1,0,0,0,0,0,0,0,0,0
1600.0,3.0,2.0,1.0,17000000.0,1,0,1,0,0,0,0,0,0,1,1,0
1600.0,4.0,3.0,1.0,20000000.0,0,0,1,0,0,0,0,0,0,1,1,0
1700.0,3.0,2.0,1.0,17000000.0,0,0,1,0,0,0,0,0,0,1,1,0
1700.0,4.0,3.0,2.0,11500000.0,0,1,1,0,0,0,0,0,0,1,0,1
1800.0,3.0,3.0,1.0,15000000.0,1,0,1,0,0,0,0,0,0,1,0,1
2000.0,4.0,4.0,1.0,27500000.0,1,0,1,0,0,0,0,0,0,1,1,1
2210.0,4.0,3.0,1.0,41000000.0,1,0,1,0,0,0,0,0,0,1,1,1
2210.0,4.0,3.0,1.0,41000000.0,1,0,1,0,0,0,0,0,0,1,1,1
2500.0,4.0,4.0,2.0,75000000.0,1,0,1,0,0,0,0,0,0,1,1,1
2519.0,4.0,5.0,2.0,68900000.0,0,1,1,0,0,0,0,0,0,0,0,0
2907.0,4.0,4.0,1.0,30000000.0,1,0,1,0,0,0,0,0,0,1,1,0
3150.0,4.0,5.0,3.0,61500000.0,1,0,1,0,0,0,0,0,0,1,0,1
252.0,2.0,2.0,1.0,5000000.0,0,0,0,1,0,0,0,0,0,1,0,0
450.0,1.0,1.0,1.0,3500000.0,1,0,0,1,0,0,0,0,0,1,0,0
450.0,1.0,1.0,1.0,3500000.0,0,1,0,1,0,0,0,0,0,1,0,0
675.0,2.0,2.0,1.0,3000000.0,1,0,0,1,0,0,0,0,0,1,1,1
100.0,3.0,2.0,1.0,4300000.0,0,0,0,1,0,0,0,0,0,1,0,1
198.0,1.0,1.0,1.0,1000000.0,0,0,0,1,0,0,0,0,0,1,1,0
210.0,1.0,1.0,1.0,2000000.0,1,0,0,1,0,0,0,0,0,1,0,0
237.0,1.0,1.0,1.0,2000000.0,0,1,0,1,0,0,0,0,0,1,1,0
270.0,2.0,1.0,1.0,1400000.0,1,0,0,1,0,0,0,0,0,1,1,0
300.0,1.0,1.0,1.0,1900000.0,1,0,0,1,0,0,0,0,0,1,0,0
344.0,2.0,2.0,1.0,3310000.0,1,0,0,1,0,0,0,0,0,1,1,1
350.0,1.0,1.0,1.0,2000000.0,1,0,0,1,0,0,0,0,0,1,0,0
350.0,1.0,1.0,1.0,1490000.0,0,1,0,1,0,0,0,0,0,1,0,0
350.0,1.0,1.0,1.0,3000000.0,0,1,0,1,0,0,0,0,0,1,1,0
350.0,1.0,1.0,1.0,1600000.0,0,1,0,1,0,0,0,0,0,1,1,0
350.0,1.0,1.0,3.0,2500000.0,0,1,0,1,0,0,0,0,0,1,1,0
350.0,1.0,1.0,1.0,2400000.0,1,0,0,1,0,0,0,0,0,1,0,1
350.0,1.0,1.0,1.0,2300000.0,1,0,0,1,0,0,0,0,0,1,0,1
350.0,1.0,1.0,1.0,1800000.0,1,0,0,1,0,0,0,0,0,1,1,1
360.0,1.0,1.0,1.0,1800000.0,0,1,0,1,0,0,0,0,0,1,1,0
365.0,1.0,1.0,1.0,3500000.0,0,1,0,1,0,0,0,0,0,1,1,0
378.0,1.0,2.0,2.0,1500000.0,0,1,0,1,0,0,0,0,0,1,1,0
379.0,1.0,1.0,1.0,1600000.0,0,1,0,1,0,0,0,0,0,1,1,1
380.0,1.0,1.0,1.0,2200000.0,1,0,0,1,0,0,0,0,0,1,0,0
390.0,1.0,1.0,1.0,2000000.0,0,1,0,1,0,0,0,0,0,1,1,0
400.0,1.0,1.0,1.0,2000000.0,0,0,0,1,0,0,0,0,0,1,1,1
405.0,2.0,3.0,1.0,6200000.0,0,0,0,1,0,0,0,0,0,1,1,1
425.0,1.0,1.0,1.0,2200000.0,0,1,0,1,0,0,0,0,0,1,1,0
431.0,1.0,1.0,2.0,5300000.0,0,0,0,1,0,0,0,0,0,1,1,0
437.0,1.0,1.0,1.0,3500000.0,0,0,0,1,0,0,0,0,0,1,0,0
444.0,2.0,2.0,1.0,2000000.0,0,1,0,1,0,0,0,0,0,1,1,0
445.0,1.0,1.0,1.0,1500000.0,0,1,0,1,0,0,0,0,0,1,1,0
445.0,2.0,2.0,1.0,2800000.0,1,0,0,1,0,0,0,0,0,1,0,0
450.0,1.0,1.0,2.0,2200000.0,0,0,0,1,0,0,0,0,0,1,1,0
450.0,1.0,1.0,1.0,2000000.0,0,0,0,1,0,0,0,0,0,1,1,1
450.0,2.0,1.0,1.0,3600000.0,0,1,0,1,0,0,0,0,0,1,1,1
450.0,2.0,2.0,1.0,3800000.0,1,0,0,1,0,0,0,0,0,1,0,1
450.0,2.0,2.0,1.0,4000000.0,0,0,0,1,0,0,0,0,0,1,1,1
452.0,2.0,1.0,1.0,3000000.0,0,0,0,1,0,0,0,0,0,1,1,0
495.0,2.0,2.0,1.0,1750000.0,0,1,0,1,0,0,0,0,0,1,1,1
500.0,1.0,1.0,1.0,3400000.0,1,0,0,1,0,0,0,0,0,1,1,0
500.0,1.0,1.0,1.0,1800000.0,0,1,0,1,0,0,0,0,0,1,1,0
500.0,2.0,1.0,1.0,2000000.0,1,0,0,1,0,0,0,0,0,1,1,1
500.0,2.0,2.0,1.0,1650000.0,1,0,0,1,0,0,0,0,0,1,1,0
550.0,2.0,2.0,1.0,3500000.0,1,0,0,1,0,0,0,0,0,1,0,0
550.0,2.0,2.0,1.0,4500000.0,1,0,0,1,0,0,0,0,0,1,0,1
560.0,2.0,2.0,3.0,2850000.0,0,0,0,1,0,0,0,0,0,1,1,0
585.0,2.0,2.0,1.0,1900000.0,0,1,0,1,0,0,0,0,0,1,1,1
600.0,2.0,2.0,1.0,4200000.0,1,0,0,1,0,0,0,0,0,1,1,1
630.0,2.0,2.0,1.0,4100000.0,1,0,0,1,0,0,0,0,0,1,0,0
630.0,2.0,2.0,1.0,5500000.0,1,0,0,1,0,0,0,0,0,1,0,1
650.0,2.0,2.0,1.0,4000000.0,1,0,0,1,0,0,0,0,0,1,0,0
650.0,2.0,2.0,1.0,6200000.0,1,0,0,1,0,0,0,0,0,1,0,1
650.0,2.0,2.0,1.0,6000000.0,1,0,0,1,0,0,0,0,0,1,1,1
660.0,2.0,2.0,1.0,4700000.0,1,0,0,1,0,0,0,0,0,1,0,1
660.0,2.0,2.0,1.0,5000000.0,1,0,0,1,0,0,0,0,0,1,1,1
666.0,1.0,2.0,1.0,3500000.0,0,0,0,1,0,0,0,0,0,1,1,1
680.0,2.0,2.0,1.0,4400000.0,1,0,0,1,0,0,0,0,0,1,0,0
700.0,3.0,2.0,1.0,4700000.0,1,0,0,1,0,0,0,0,0,1,0,0
720.0,2.0,2.0,1.0,4700000.0,1,0,0,1,0,0,0,0,0,1,0,0
720.0,3.0,2.0,1.0,6500000.0,1,0,0,1,0,0,0,0,0,1,0,1
720.0,3.0,2.0,1.0,6000000.0,1,0,0,1,0,0,0,0,0,1,0,1
729.0,3.0,4.0,1.0,2600000.0,0,0,0,1,0,0,0,0,0,1,1,1
750.0,2.0,2.0,1.0,5000000.0,1,0,0,1,0,0,0,0,0,1,0,0
750.0,2.0,2.0,1.0,5000000.0,1,0,0,1,0,0,0,0,0,1,0,0
750.0,2.0,2.0,1.0,5000000.0,1,0,0,1,0,0,0,0,0,1,0,0
750.0,2.0,2.0,1.0,5000000.0,1,0,0,1,0,0,0,0,0,1,0,0
800.0,2.0,2.0,1.0,5500000.0,1,0,0,1,0,0,0,0,0,1,0,0
800.0,3.0,2.0,1.0,5500000.0,1,0,0,1,0,0,0,0,0,1,0,0
800.0,3.0,2.0,1.0,5500000.0,1,0,0,1,0,0,0,0,0,1,0,1
800.0,3.0,2.0,1.0,6500000.0,1,0,0,1,0,0,0,0,0,1,0,1
